number_of_features,LGBM_corr_mean,LGBM_corr_se,LASSO_corr_mean,LASSO_corr_se,rrBLUP_corr_mean,rrBLUP_corr_se,RGB_corr_mean,RGB_corr_se,ssRGB_corr_mean,ssRGB_corr_se
25,0.277039083,0.024049511,0.194478683,0.020591762,0.081964182,0.027750369,0.306351367,0.023968836,0.278873452,0.026982599
50,0.33679695,0.022142206,0.273413057,0.019618297,0.153576503,0.032623294,0.351251856,0.019122483,0.294053573,0.019572799
75,0.352939972,0.019737258,0.318543054,0.017414996,0.231972156,0.025618102,0.375377889,0.018074146,0.33025214,0.02169122
100,0.376025603,0.025416357,0.351894716,0.021298511,0.273507176,0.022240535,0.386038028,0.017905663,0.363270726,0.023791637
125,0.380199094,0.026417205,0.378469823,0.025433792,0.305775741,0.028855415,0.39103159,0.019721451,0.379176197,0.023043289
150,0.389097313,0.022456439,0.397840108,0.024142719,0.326121092,0.022584685,0.402097313,0.019737845,0.395450025,0.022815285
175,0.39567066,0.023414575,0.405651163,0.022972992,0.354322959,0.021329302,0.415789472,0.023412656,0.413735546,0.024638228
200,0.397880563,0.022463485,0.407496625,0.025377858,0.367082616,0.022269794,0.424129415,0.021455432,0.42041968,0.025560455
250,0.409865857,0.019934916,0.420752439,0.024710777,0.373528287,0.021659199,0.434789024,0.021451682,0.434931084,0.026150262
300,0.417771083,0.0204195,0.43696588,0.021696118,0.388882776,0.020677541,0.44128472,0.021849375,0.439933887,0.023879619
400,0.426747418,0.020905157,0.444419408,0.022745672,0.416515509,0.016206501,0.451217959,0.022378483,0.448282743,0.02361757
500,0.441252597,0.021462222,0.452043583,0.022536152,0.43049979,0.019325259,0.454418957,0.02378216,0.451412609,0.023522124
600,0.440959124,0.02030794,0.455364446,0.02453561,0.448876737,0.020387359,0.458214719,0.023538707,0.453948672,0.023158895
700,0.439982314,0.020001966,0.458576693,0.024413651,0.448710509,0.020586639,0.461879749,0.023583175,0.454688911,0.023793135
800,0.450757526,0.019167409,0.464651295,0.023180911,0.452023846,0.020720117,0.465857915,0.023574137,0.457131159,0.022480644
900,0.454572219,0.021544123,0.464885212,0.023925737,0.458130506,0.023181597,0.466589742,0.024571934,0.458082565,0.023393335
1000,0.456578146,0.022355448,0.46732139,0.024703392,0.46055532,0.024412142,0.467219766,0.023965582,0.457334785,0.023812263
