number_of_features,LGBM_corr_mean,LGBM_corr_se,LASSO_corr_mean,LASSO_corr_se,rrBLUP_corr_mean,rrBLUP_corr_se,RGB_corr_mean,RGB_corr_se,ssRGB_corr_mean,ssRGB_corr_se
25,0.335568475,0.022049415,0.250022765,0.018712504,0.265190992,0.01500937,0.356928201,0.033535487,0.279063876,0.022015314
50,0.369744331,0.017908029,0.337193498,0.020928137,0.311105621,0.021144556,0.396525805,0.02549444,0.312712089,0.02725342
75,0.384366578,0.018035433,0.374155339,0.016198332,0.32905933,0.026099946,0.415044257,0.023384251,0.363773877,0.022207611
100,0.397459736,0.025456944,0.396806002,0.018331297,0.349997363,0.018716717,0.42412191,0.025330261,0.392377388,0.018125953
125,0.40481038,0.019768702,0.416498966,0.019791616,0.364490976,0.0151692,0.43433106,0.023205595,0.413986315,0.017278067
150,0.422991039,0.018706883,0.427524861,0.019093048,0.371690658,0.015693296,0.439135947,0.025644098,0.432924525,0.017870604
175,0.431962605,0.019782117,0.438802318,0.018107643,0.390436791,0.014444533,0.446784812,0.023870071,0.438503556,0.018012304
200,0.437728521,0.019090739,0.448507799,0.016175205,0.414246675,0.008204844,0.45723026,0.022829411,0.45223026,0.01783224
250,0.448059718,0.019043386,0.454522952,0.018442706,0.426482435,0.010475247,0.466640674,0.024609419,0.453686777,0.01813105
300,0.456429122,0.018045875,0.465407352,0.016326111,0.436463425,0.009546574,0.478819367,0.023213361,0.470196963,0.019237498
400,0.468337842,0.016352256,0.485300315,0.015334053,0.451717203,0.015288101,0.49526997,0.020024963,0.479734572,0.019450414
500,0.484444441,0.017376907,0.486984624,0.01591359,0.46545661,0.013851404,0.503747305,0.018640101,0.486495213,0.018375701
600,0.495287274,0.017613578,0.492022981,0.016539179,0.476556706,0.015536031,0.508244071,0.017536127,0.491720726,0.017707495
700,0.490249411,0.016911406,0.489715338,0.016361251,0.490118891,0.016335263,0.510318243,0.01766876,0.493761487,0.017888528
800,0.493724944,0.018060907,0.496706981,0.015716949,0.494879986,0.015227408,0.509283128,0.017604749,0.494236102,0.018418177
900,0.494295326,0.017874292,0.499073439,0.015801218,0.503212344,0.015999829,0.510579169,0.017447954,0.492469266,0.018670046
1000,0.497490824,0.018149873,0.499926195,0.016527765,0.504102188,0.016912366,0.511089222,0.017964212,0.496059863,0.017858075
