number_of_features,LGBM_corr_mean,LGBM_corr_se,LASSO_corr_mean,LASSO_corr_se,rrBLUP_corr_mean,rrBLUP_corr_se,RGB_corr_mean,RGB_corr_se,ssRGB_corr_mean,ssRGB_corr_se
25,0.355278627,0.031033325,0.254352861,0.023949661,0.176002653,0.029895091,0.363411939,0.020573056,0.349281717,0.022372296
50,0.380701005,0.019787868,0.308922088,0.028522448,0.242157581,0.027962932,0.391009984,0.020479815,0.356076796,0.025422747
75,0.400421861,0.0176071,0.372445985,0.023597981,0.264825402,0.021819926,0.416564514,0.021878635,0.40191499,0.028880108
100,0.413843061,0.019527881,0.395811501,0.024560733,0.30011094,0.026355995,0.4343472,0.024873577,0.428057657,0.018442784
125,0.421543724,0.025179259,0.412758293,0.025148432,0.327744892,0.023081559,0.455656903,0.025633134,0.443598934,0.018465665
150,0.428025967,0.023658686,0.420907061,0.023101136,0.354849623,0.02340698,0.466438845,0.026888179,0.453186325,0.022384734
175,0.435006791,0.020401762,0.438086077,0.021802873,0.385241545,0.025086207,0.472003185,0.025467565,0.463407322,0.021705683
200,0.443577781,0.019955324,0.451080168,0.02332402,0.399191211,0.025428139,0.483674699,0.023421845,0.472674699,0.020731226
250,0.448493989,0.017311549,0.46275547,0.017888874,0.422900606,0.026860656,0.495068338,0.024085749,0.490068338,0.019232182
300,0.459543147,0.018085712,0.478671775,0.018310284,0.437854435,0.025694083,0.497856952,0.026150637,0.49974271,0.019127056
400,0.474388749,0.018964213,0.486340341,0.020673818,0.457785092,0.023180487,0.500708323,0.02487777,0.498462719,0.019118804
500,0.486683587,0.023426391,0.495356656,0.02360266,0.466678171,0.025224376,0.503548208,0.022983813,0.501289472,0.017121836
600,0.492905267,0.021542909,0.500563894,0.024939062,0.476531802,0.024778627,0.504528794,0.022564988,0.505450289,0.01857906
700,0.496469458,0.02134221,0.499278053,0.02538436,0.481906646,0.023221616,0.505768197,0.022626103,0.505012942,0.01925858
800,0.497884136,0.022029938,0.494211317,0.023569805,0.477634971,0.024356177,0.505892736,0.023749102,0.504719076,0.018472653
900,0.502085487,0.021153075,0.494670418,0.024703059,0.484860281,0.023293343,0.50584129,0.023248206,0.504149272,0.018504252
1000,0.505388961,0.020560645,0.500157544,0.025434714,0.485041378,0.022356058,0.506490897,0.022707109,0.505690897,0.01861549
