"","Type","background","pvalue","oddvalue","Simulate"
"1","cpm","random_test","0.561965546507089","0.993977386431742","1"
"2","highexp","random_test","0.0978322770855835","1.0713369092335","1"
"3","highvar","random_test","0.00437885638610908","1.27145188419539","1"
"4","specific.ob","random_test","0.889357104373211","0.910216655726144","1"
"5","DEG","random_test","0.991206259297046","0.897871638275739","1"
"6","cpm","random_test","0.0435450317531383","1.07971982014694","2"
"7","highexp","random_test","0.0214352656014537","1.11251370911869","2"
"8","highvar","random_test","0.339727050455629","1.0431614728054","2"
"9","specific.ob","random_test","0.426574268707167","1.01693055789121","2"
"10","DEG","random_test","0.088509073607824","1.06372574361","2"
"11","cpm","random_test","0.259256213390345","1.03008855958415","3"
"12","highexp","random_test","0.163630850634933","1.05397426663599","3"
"13","highvar","random_test","0.560403807802815","0.989296145542093","3"
"14","specific.ob","random_test","0.610702185143374","0.980763405745188","3"
"15","DEG","random_test","0.34399906885139","1.01929733885033","3"
"16","cpm","random_test","0.0477929574399045","1.07761446087716","4"
"17","highexp","random_test","0.671262901710758","0.977967268188676","4"
"18","highvar","random_test","0.702652969437614","0.954048823798594","4"
"19","specific.ob","random_test","0.00173052067069845","1.24709601946996","4"
"20","DEG","random_test","0.693217163054084","0.97824901755247","4"
"21","cpm","random_test","0.863048460303805","0.953091254891516","5"
"22","highexp","random_test","0.651895816820613","0.980723698530243","5"
"23","highvar","random_test","0.339727050455629","1.0431614728054","5"
"24","specific.ob","random_test","0.5498935974967","0.992754247317286","5"
"25","DEG","random_test","0.0814973298334319","1.06587747157268","5"
"26","cpm","random_test","0.64766777442977","0.98412610370534","6"
"27","highexp","random_test","0.807249146779115","0.956128995749","6"
"28","highvar","random_test","0.410817996074886","1.0250683522464","6"
"29","specific.ob","random_test","0.640261380478966","0.97479169739669","6"
"30","DEG","random_test","0.209411548121335","1.03814182237685","6"
"31","cpm","random_test","0.795523277162581","0.964642679767211","7"
"32","highexp","random_test","0.708628269369064","0.972467109909203","7"
"33","highvar","random_test","0.410817996074886","1.0250683522464","7"
"34","specific.ob","random_test","0.518999294120865","0.998773445362171","7"
"35","DEG","random_test","0.873187124496647","0.950247940728547","7"
"36","cpm","random_test","0.769236976501586","0.968516157279042","8"
"37","highexp","random_test","0.743908128095628","0.966983860988279","8"
"38","highvar","random_test","0.997231252885971","0.76145325733544","8"
"39","specific.ob","random_test","0.723645451643856","0.956971032599783","8"
"40","DEG","random_test","0.66063044986679","0.98229729606943","8"
"41","cpm","random_test","0.80797223624373","0.962710265929733","9"
"42","highexp","random_test","0.708628269369064","0.972467109909203","9"
"43","highvar","random_test","0.668865135393277","0.962812508648932","9"
"44","specific.ob","random_test","0.518999294120865","0.998773445362171","9"
"45","DEG","random_test","0.693217163054084","0.97824901755247","9"
"46","cpm","random_test","0.508853875436788","0.99993896484375","10"
"47","highexp","random_test","0.236634801361049","1.03963904838427","10"
"48","highvar","random_test","0.410817996074886","1.0250683522464","10"
"49","specific.ob","random_test","0.873712771216145","0.916007213166728","10"
"50","DEG","random_test","0.112237194482954","1.0572901029806","10"
"51","cpm","random_test","0.579476861710243","0.992001240701527","11"
"52","highexp","random_test","0.508092285066742","1.00012208521548","11"
"53","highvar","random_test","0.954392435848227","0.851508116972917","11"
"54","specific.ob","random_test","0.610702185143374","0.980763405745188","11"
"55","DEG","random_test","0.311342151240252","1.02347546721996","11"
"56","cpm","random_test","0.336073012466791","1.01995158271075","12"
"57","highexp","random_test","0.807249146779115","0.956128995749","12"
"58","highvar","random_test","0.215669786903076","1.07976789078329","12"
"59","specific.ob","random_test","0.0680764491854263","1.12275194778216","12"
"60","DEG","random_test","0.295538599881236","1.02556969663287","12"
"61","cpm","random_test","0.259256213390345","1.03008855958415","13"
"62","highexp","random_test","0.0663925804051984","1.08299570776702","13"
"63","highvar","random_test","0.885659924057867","0.893679595110623","13"
"64","specific.ob","random_test","0.640261380478966","0.97479169739669","13"
"65","DEG","random_test","0.150512428097688","1.0487546409622","13"
"66","cpm","random_test","0.943728303720558","0.932179675925956","14"
"67","highexp","random_test","0.671262901710758","0.977967268188676","14"
"68","highvar","random_test","0.702652969437614","0.954048823798594","14"
"69","specific.ob","random_test","0.955349163419158","0.875805282086478","14"
"70","DEG","random_test","0.781600943544001","0.966176688654664","14"
"71","cpm","random_test","0.336073012466791","1.01995158271075","15"
"72","highexp","random_test","0.139070678913732","1.05974229497523","15"
"73","highvar","random_test","0.447760062478179","1.01607388768719","15"
"74","specific.ob","random_test","0.457154576149904","1.01086121356336","15"
"75","DEG","random_test","0.395197334883704","1.01305592028827","15"
"76","cpm","random_test","0.769236976501586","0.968516157279042","16"
"77","highexp","random_test","0.570955075962695","0.991791856249934","16"
"78","highvar","random_test","0.793569264976435","0.928009986523376","16"
"79","specific.ob","random_test","0.0904665588723138","1.11003950479735","16"
"80","DEG","random_test","0.921456169406672","0.938425762355169","16"
"81","cpm","random_test","0.231302014140056","1.03410117804223","17"
"82","highexp","random_test","0.383528074747992","1.01695267560591","17"
"83","highvar","random_test","0.668865135393277","0.962812508648932","17"
"84","specific.ob","random_test","0.36698495721118","1.02912038975768","17"
"85","DEG","random_test","0.265098967873721","1.02976850335797","17"
"86","cpm","random_test","0.561965546507089","0.993977386431742","18"
"87","highexp","random_test","0.760682989899601","0.964309602492469","18"
