gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,logP,Signif,Difference
GALGAL-R10616,0,-5.9868695677634,0.078,0.685,0,Inf,downregulated,-0.607
GALGAL-R13744,0,-7.10118637854351,0.009,0.584,0,Inf,downregulated,-0.575
GALGAL-R11751,0,-6.23527093657047,0.008,0.496,0,Inf,downregulated,-0.488
GALGAL-R03016,0,-6.04093117746721,0.009,0.455,0,Inf,downregulated,-0.446
GALGAL-R06436,0,3.48493839603494,0.438,0.059,0,Inf,upregulated,0.379
GALGAL-R05606,0,-2.75857667150979,0.125,0.495,0,Inf,downregulated,-0.37
GALGAL-R00815,0,-1.513182074306,0.48,0.836,0,Inf,downregulated,-0.356
GALGAL-R14015,0,1.48533971325249,0.671,0.317,0,Inf,upregulated,0.354
GALGAL-R15756,0,-3.76394762857467,0.059,0.392,0,Inf,downregulated,-0.333
GALGAL-R16278,0,3.60901091211158,0.361,0.03,0,Inf,upregulated,0.331
GALGAL-R16491,0,-2.68485282522505,0.145,0.474,0,Inf,downregulated,-0.329
GALGAL-R01816,0,1.33096911834948,0.564,0.241,0,Inf,upregulated,0.323
GALGAL-R15724,0,1.26923148982104,0.863,0.547,0,Inf,upregulated,0.316
GALGAL-R07208,0,-2.10706091267589,0.262,0.577,0,Inf,downregulated,-0.315
GALGAL-R13246,0,-1.8216388003446,0.211,0.507,0,Inf,downregulated,-0.296
GALGAL-R16145,0,6.16871361532841,0.295,0.004,0,Inf,upregulated,0.291
GALGAL-R00279,0,4.44391411407504,0.304,0.014,0,Inf,upregulated,0.29
GALGAL-R14983,0,-2.9852927213418,0.059,0.349,0,Inf,downregulated,-0.29
GALGAL-R17578,0,-2.66679018222621,0.162,0.451,0,Inf,downregulated,-0.289
GALGAL-R08431,0,6.68435327721475,0.296,0.008,0,Inf,upregulated,0.288
GALGAL-R16858,0,2.30464416824595,0.342,0.056,0,Inf,upregulated,0.286
GALGAL-R13745,0,-6.94033922551822,0.003,0.268,0,Inf,downregulated,-0.265
GALGAL-R01383,0,-1.38808043970134,0.398,0.66,0,Inf,downregulated,-0.262
GALGAL-R02195,0,-1.74858675640487,0.112,0.374,0,Inf,downregulated,-0.262
GALGAL-R15287,0,-1.75841839417143,0.355,0.611,0,Inf,downregulated,-0.256
GALGAL-R04177,0,-3.0705102794678,0.067,0.305,0,Inf,downregulated,-0.238
GALGAL-R07153,0,-2.643550576878,0.066,0.294,0,Inf,downregulated,-0.228
GALGAL-R10778,0,1.00957747651067,0.891,0.664,0,Inf,upregulated,0.227
GALGAL-R01251,0,-6.0502425241107,0.004,0.23,0,Inf,downregulated,-0.226
GALGAL-R08792,0,-3.97932341604873,0.019,0.195,0,Inf,downregulated,-0.176
GALGAL-R01272,0,-7.38580862101102,0.001,0.164,0,Inf,downregulated,-0.163
GALGAL-R15596,0,-5.45916544060529,0.004,0.163,0,Inf,downregulated,-0.159
GALGAL-R14512,0,0.751785464931719,0.948,0.793,0,Inf,upregulated,0.155
GALGAL-R03787,0,-1.58349576471821,0.703,0.821,0,Inf,downregulated,-0.118
GALGAL-R16322,0,0.742214274219177,0.957,0.841,0,Inf,upregulated,0.116
GALGAL-R11895,0,0.914848709970417,0.968,0.856,0,Inf,upregulated,0.112
GALGAL-R03087,0,-2.76551910712307,0.864,0.806,0,Inf,downregulated,0.0579999999999999
GALGAL-R14439,0,-1.11750608864204,0.872,0.912,0,Inf,downregulated,-0.04
GALGAL-R06526,0,-1.04018711134888,0.957,0.991,0,Inf,downregulated,-0.034
GALGAL-R14006,0,-1.1947383021147,0.955,0.986,0,Inf,downregulated,-0.031
GALGAL-R06974,0,-0.930162418292937,0.974,0.997,0,Inf,downregulated,-0.023
GALGAL-R14269,0,-0.773126396238298,0.984,0.995,0,Inf,downregulated,-0.011
GALGAL-R12828,0,-0.878901569644278,0.992,0.998,0,Inf,downregulated,-0.00600000000000001
GALGAL-R14659,0,0.631350435693121,0.998,0.992,0,Inf,upregulated,0.00600000000000001
GALGAL-R02700,0,-0.494307045119522,0.997,1,0,Inf,downregulated,-0.003
GALGAL-R10841,0,-0.310274519639469,0.998,1,0,Inf,downregulated,-0.002
GALGAL-R09125,0,-0.576719638334714,0.998,1,0,Inf,downregulated,-0.002
GALGAL-R00997,0,-0.445237677307497,0.998,1,0,Inf,downregulated,-0.002
GALGAL-R07712,0,-0.628081531523026,0.998,1,0,Inf,downregulated,-0.002
GALGAL-R15129,0,-1.60982966761339,0.996,0.998,0,Inf,downregulated,-0.002
GALGAL-R14098,0,-0.493526817229523,0.998,1,0,Inf,downregulated,-0.002
GALGAL-R09958,0,-0.548070052624926,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R08816,0,-0.514508690545775,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R10392,0,-0.661073880552147,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R13449,0,-0.433839355749563,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R02545,0,-0.328816233835999,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R04414,0,-0.389220246059409,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R04445,0,0.619937691087326,0.998,0.997,0,Inf,upregulated,0.001
GALGAL-R09595,0,-0.430860341112863,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R13226,0,-0.593872143561969,0.998,0.999,0,Inf,downregulated,-0.001
GALGAL-R11558,0,-0.481023307233942,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R00098,0,-0.881645022106286,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R06838,0,-0.543834871448976,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R00155,0,-0.367300209121455,0.999,1,0,Inf,downregulated,-0.001
GALGAL-R13991,0,-0.348690188862224,0.999,1,0,Inf,downregulated,-0.001
MT-GALGAL-R17865,0,0.619878256621094,1,0.999,0,Inf,upregulated,0.001
GALGAL-R10421,0,-0.509492369136427,1,1,0,Inf,downregulated,0
GALGAL-R10256,0,-0.460087087296924,1,1,0,Inf,downregulated,0
GALGAL-R13385,0,-0.551609887874919,1,1,0,Inf,downregulated,0
GALGAL-R09369,0,-0.480793647936975,1,1,0,Inf,downregulated,0
GALGAL-R02743,0,-0.659288882078331,1,1,0,Inf,downregulated,0
GALGAL-R12443,0,-0.447349831521341,1,1,0,Inf,downregulated,0
GALGAL-R03230,0,0.311897185045637,1,1,0,Inf,upregulated,0
GALGAL-R16371,4.05605591735706e-305,-0.327457477946819,0.999,1,6.07516055301741e-301,300.216442240138,downregulated,-0.001
GALGAL-R03581,2.22229493781839e-304,0.435257207038669,0.997,0.986,3.32855335786438e-300,299.477744476765,upregulated,0.011
GALGAL-R08845,1.17840265929511e-301,0.646586045102487,0.954,0.866,1.76501150309222e-297,296.753252459844,upregulated,0.088
GALGAL-R11406,3.16471369708765e-301,-0.744506382173245,0.76,0.911,4.74010817549788e-297,296.324211747042,downregulated,-0.151
GALGAL-R01123,7.35194521098073e-300,-0.920718813786714,0.657,0.86,1.10117435370069e-295,294.958143911859,downregulated,-0.203
GALGAL-R10201,3.36176643278287e-299,0.891016112053808,0.823,0.604,5.03525376302219e-295,294.297978637304,upregulated,0.219
GALGAL-R12897,3.12320832111198e-298,-3.02447738506759,0.112,0.34,4.67794142336153e-294,293.329945220678,downregulated,-0.228
GALGAL-R03015,6.39310056392568e-294,-3.86199777423643,0.016,0.172,9.57558602464788e-290,289.018834637779,downregulated,-0.156
GALGAL-R09485,2.39842660597731e-289,0.549536968472921,0.988,0.932,3.59236337043281e-285,284.444619740548,upregulated,0.0559999999999999
GALGAL-R12318,4.3971802626202e-286,0.838337812600303,0.847,0.653,6.58609659735253e-282,281.181371903841,upregulated,0.194
GALGAL-R14254,9.770680786405e-285,-1.25716616777917,0.37,0.632,1.46345256818774e-280,279.834621348876,downregulated,-0.262
GALGAL-R10963,2.39361127245152e-277,-3.94138731495108,0.012,0.155,3.58515096387789e-273,272.445492552298,downregulated,-0.143
GALGAL-R01066,4.65088134523757e-276,0.799331709387104,0.849,0.668,6.96609007889683e-272,271.157010913955,upregulated,0.181
GALGAL-R04466,5.20293983828727e-274,-2.49504157156024,0.131,0.363,7.79296328978667e-270,269.108297369582,downregulated,-0.232
GALGAL-R00142,2.1933344732385e-273,-0.317122998265942,0.999,1,3.28517637401663e-269,268.483441309147,downregulated,-0.001
GALGAL-R04589,2.08476975587843e-272,0.667125600574443,0.906,0.754,3.12256814035471e-268,267.505488075722,upregulated,0.152
GALGAL-R10237,2.58851594967639e-266,3.74640036762789,0.243,0.019,3.87707918942529e-262,261.411495328428,upregulated,0.224
GALGAL-R08472,5.48818183601272e-266,-1.60618266262471,0.412,0.642,8.22019875397985e-262,261.085117681643,downregulated,-0.23
GALGAL-R12486,9.47748434387582e-263,-0.302241195886211,0.999,1,1.41953760502572e-258,257.847853098074,downregulated,-0.001
GALGAL-R03608,4.41370368413666e-262,1.00804066011066,0.706,0.452,6.61084537809988e-258,257.179743000489,upregulated,0.254
GALGAL-R15374,5.80448598420982e-258,0.716047630187524,0.877,0.722,8.69395910714947e-254,253.060782406885,upregulated,0.155
GALGAL-R03332,1.71927829151179e-256,0.619292176465061,0.916,0.776,2.57513502502636e-252,251.589199994162,upregulated,0.14
GALGAL-R13655,3.53836139232266e-249,0.313626426656229,1,1,5.29975769342088e-245,244.275743986025,upregulated,0
GALGAL-R05140,1.87648650757799e-248,0.286934341476685,0.999,1,2.81060149105032e-244,243.551200727679,upregulated,-0.001
