"gene","average_expression","expression_prop"
"GALGAL-R08465",6.33302870004279e+229,0.0103979921118681
"GALGAL-R07772",6.29028491420876e+198,0.631767658659018
"GALGAL-R02026",1.22595469354716e+167,0.649157404087487
"GALGAL-R16913",2.10849111190698e+160,0.00519899605593403
"GALGAL-R16083",8.7901469326743e+151,0.998565794191467
"GALGAL-R03979",1.25662511385478e+138,0.0141627823592686
"GALGAL-R01580",7.73755144132932e+133,0.359627106489781
"GALGAL-R05108",7.14362464953265e+131,0.998565794191467
"GALGAL-R04179",5.42777996101309e+126,0.999641448547867
"GALGAL-R13725",5.0269606923446e+120,0.0120114736464683
"GALGAL-R01736",1.47710174341957e+112,0.0960917891717461
"GALGAL-R14006",2.40716446203152e+107,0.894406597346719
"GALGAL-R01741",1.69056874834036e+107,0.859627106489781
"GALGAL-R08193",5.72544364430529e+98,0.583542488347078
"GALGAL-R03260",1.14997902183782e+98,0.718357834349229
"GALGAL-R04037",2.09591884802305e+96,0.0367515238436716
"GALGAL-R08472",6.68246236885958e+93,0.44962352097526
"GALGAL-R07294",2.09594910617357e+83,0.0200788813194693
"GALGAL-R01499",2.24273028859351e+78,0.0132664037289351
"GALGAL-R14845",1.58278865292584e+78,0.62352097525995
"GALGAL-R02959",4.67695126678618e+75,0.0912513445679455
"GALGAL-R01519",4.96336222438751e+74,0.139655790605952
"GALGAL-R03792",9.89496132095384e+73,0.0261742560057368
"GALGAL-R08971",8.00419010516609e+72,0.27465041233417
"GALGAL-R05509",3.13282537826294e+70,0.00591609896020079
"GALGAL-R06049",3.32892039221929e+64,0.574578702043743
"GALGAL-R15129",7.14230894125833e+63,0.994263176765866
"GALGAL-R06692",3.32574771158708e+62,0.879705987809251
"GALGAL-R08757",3.19091581847152e+61,0.654535675869487
"GALGAL-R01661",2.41890869581518e+56,0.0889207601290785
"GALGAL-R12468",2.20136614243887e+56,0.00519899605593403
"GALGAL-R03179",1.96894359045154e+56,0.204374327716027
"GALGAL-R05616",7.04630674697311e+55,0.127465041233417
"GALGAL-R16626",8.40127465490055e+54,0.118680530656149
"GALGAL-R12396",2.77932219493256e+54,0.522409465758336
"GALGAL-R11895",1.37020116918202e+54,0.936177841520258
"GALGAL-R08210",1.07416083312856e+54,0.857117246324848
"GALGAL-R15939",5.73259217067846e+50,0.391896737181786
"GALGAL-R03327",3.4775499289568e+49,0.414126927214055
"GALGAL-R15711",3.16486012333071e+49,0.218537110075296
"GALGAL-R03569",1.26903515611285e+49,0.514342058085335
"GALGAL-R17211",9.90448937519553e+46,0.0281462889924704
"GALGAL-R03546",2.15311655166764e+46,0.338114019361778
"GALGAL-R12673",1.88414715539503e+46,0.560953746862675
"GALGAL-R14512",1.0286897172962e+46,0.955181068483327
"GALGAL-R03817",8.32783631586675e+44,0.557368232341341
"GALGAL-R11634",9.51464683646261e+43,0.987092147723198
"GALGAL-R03087",3.87320002931511e+43,0.831839368949444
"GALGAL-R02181",3.77005469576397e+43,0.463069200430262
"GALGAL-R03842",2.70678150615702e+43,0.231086410899964
"GALGAL-R12300",7.45938741150899e+42,0.0329867335962711
"GALGAL-R02068",4.43605887763716e+42,0.233775546790965
"GALGAL-R06202",2.47574810342998e+42,0.00788813194693438
"GALGAL-R04136",1.58065601776473e+42,0.0561133022588741
"GALGAL-R01656",1.15476818882155e+42,0.487809250627465
"GALGAL-R09548",1.02840879870815e+41,0.00591609896020079
"GALGAL-R09940",8.89921156495388e+40,0.278056651129437
"GALGAL-R06568",4.71938592274794e+40,0.0111150950161348
"GALGAL-R16422",6.27421293075296e+39,0.169953388311223
"GALGAL-R05884",4.31583370266926e+39,0.0132664037289351
"GALGAL-R07807",2.82847055252529e+39,0.0182861240588024
"GALGAL-R08278",2.48517766192224e+39,0.396020078881319
"GALGAL-R00354",2.10886423234171e+39,0.163858013624955
"GALGAL-R12287",9.16768584689639e+38,0.0315525277877375
"GALGAL-R03787",4.83151722635346e+38,0.709573323771961
"GALGAL-R06889",4.55601524000608e+38,0.304230907135174
"GALGAL-R09102",2.86936750508306e+38,0.0745787020437433
"GALGAL-R00107",1.08183074498439e+38,0.62136966654715
"GALGAL-R09065",9.17671160181558e+37,0.726245966296163
"GALGAL-R04725",8.2741471055033e+37,0.00358551452133381
"GALGAL-R04129",8.130952728389e+37,0.333094299031911
"GALGAL-R12044",7.16120782357668e+37,0.0528863391896737
"GALGAL-R01268",4.26635469679319e+37,0.140731444962352
"GALGAL-R14531",1.63430808926653e+37,0.00179275726066691
"GALGAL-R14384",6.46477710663284e+35,0.755826461097167
"GALGAL-R07575",2.02246033767537e+35,0.968985299390463
"GALGAL-R00538",1.07106176797395e+35,0.190211545356759
"GALGAL-R08348",5.67291474960393e+34,0.601470060953747
"GALGAL-R01289",3.22979973752074e+33,0.447113660810326
"GALGAL-R13577",1.565839141319e+33,0.569200430261743
"GALGAL-R03758",1.38516422596029e+33,0.332197920401578
"GALGAL-R10307",1.14324313059429e+33,0.015059160989602
"GALGAL-R12642",3.79236360677135e+31,0.0319110792398709
"GALGAL-R05749",1.96250902464986e+31,0.0057368232341341
"GALGAL-R10142",1.70091023986724e+31,0.243097884546432
"GALGAL-R14755",1.08850993596338e+31,0.00627465041233417
"GALGAL-R00379",6.37430156013862e+30,0.00717102904266762
"GALGAL-R12371",3.83948135930069e+30,0.917533166009322
"GALGAL-R14827",8.76274629863845e+29,0.229652205091431
"GALGAL-R04131",8.61952381475162e+29,0.548404446038006
"GALGAL-R14964",5.3636249510927e+29,0.468268196486196
"GALGAL-R12713",5.35244914386275e+29,0.22158479741843
"GALGAL-R13979",4.13196886591063e+29,0.0878451057726784
"GALGAL-R09283",3.25590448506263e+29,0.168877733954823
"GALGAL-R15308",3.23075855382151e+29,0.72642524202223
"GALGAL-R07364",2.18427847192066e+29,0.007529580494801
"GALGAL-R12700",1.52172600312358e+29,0.565077088562209
"GALGAL-R04279",1.17962591333617e+29,0.552169236285407
"GALGAL-R05863",3.8404075780176e+28,0.532269630692004
"GALGAL-R07389",3.13370062916882e+28,0.0157762638938688
"GALGAL-R08270",2.33710385925721e+28,0.415202581570455
"GALGAL-R08732",1.53793995311438e+28,0.252599498027967
"GALGAL-R03887",6.71002220054202e+27,0.0148798852635353
"GALGAL-R08914",2.64842628941862e+27,0.164216565077089
"GALGAL-R03228",2.34587583981133e+27,0.369845822875583
"GALGAL-R16298",6.88082200568864e+26,0.335604159196845
"GALGAL-R13453",5.68494381992614e+26,0.682323413409824
"GALGAL-R14786",3.41206458270823e+26,0.408390103979921
"GALGAL-R11234",2.33373254405622e+26,0.583901039799211
"GALGAL-R16831",2.293997859284e+26,0.622803872355683
"GALGAL-R03207",1.60022271501781e+26,0.391000358551452
"GALGAL-R05899",1.4306357066213e+26,0.72750089637863
"GALGAL-R03462",1.15930479531873e+26,0.0267120831839369
"GALGAL-R15772",3.69627307594566e+25,0.281642165650771
"GALGAL-R09946",2.23218503818653e+25,0.223915381857297
"GALGAL-R14970",4.86595759563888e+24,0.122266045177483
"GALGAL-R08773",4.26530751694613e+24,0.0408748655432054
"GALGAL-R08620",4.02801571817024e+24,0.335245607744711
"GALGAL-R15748",4.0222297984948e+24,0.30064539261384
"GALGAL-R08175",3.80134528348753e+24,0.631588382932951
"GALGAL-R16093",3.45118063247205e+24,0.27411258515597
"GALGAL-R16683",3.37552011049283e+24,0.0921477231982789
"GALGAL-R02028",3.25723365566498e+24,0.115632843313015
"GALGAL-R12384",2.9345948877596e+24,0.0252778773754034
"GALGAL-R12337",2.21316859053429e+24,0.0539619935460739
"GALGAL-R09983",1.98806570303766e+24,0.308174973108641
"GALGAL-R01954",1.87292472331446e+24,0.287737540337038
"GALGAL-R10632",1.54214716342364e+24,0.640910720688419
"GALGAL-R00913",8.94988794052262e+23,0.102007888131947
"GALGAL-R04125",5.50191678441011e+23,0.183219792040158
"GALGAL-R10691",3.57943380676217e+23,0.301541771244174
"GALGAL-R09174",3.29008847630024e+23,0.133022588741484
"GALGAL-R14376",3.15709260654195e+23,0.307099318752241
"GALGAL-R08631",2.91145941719182e+23,0.608999641448548
"GALGAL-R05085",2.61648299679512e+23,0.135891000358551
"GALGAL-R09017",1.84949796269954e+23,0.00914306202940122
"GALGAL-R16641",1.30463561373338e+23,0.277698099677304
"GALGAL-R14557",1.16977132447862e+23,0.338651846539978
"GALGAL-R00853",9.25570157318502e+22,0.131229831480817
"GALGAL-R02014",8.82100053289643e+22,0.184474722122625
