"gene","average_expression","expression_prop"
"GALGAL-R08465",3.46988341989722e+292,0.0187994722955145
"GALGAL-R12468",4.79776452574038e+290,0.0115435356200528
"GALGAL-R12443",1.36140579093583e+241,1
"GALGAL-R01519",9.39667278852676e+234,0.142150395778364
"GALGAL-R04179",8.1487702163327e+226,1
"GALGAL-R15129",4.61805334463965e+185,0.99934036939314
"GALGAL-R14006",1.12952438865254e+168,0.987796833773087
"GALGAL-R00107",1.53558513898046e+160,0.842348284960422
"GALGAL-R13931",1.54619732365252e+158,0.479881266490765
"GALGAL-R02239",2.00920460218601e+155,0.0145118733509235
"GALGAL-R03979",5.53949194205366e+153,0.0267150395778364
"GALGAL-R08472",8.47296123889224e+151,0.618403693931398
"GALGAL-R10616",3.04287701753278e+149,0.726912928759894
"GALGAL-R16083",3.2998579338154e+136,0.99967018469657
"GALGAL-R11634",5.8403090414481e+135,0.99901055408971
"GALGAL-R14376",2.98014472164995e+130,0.402374670184697
"GALGAL-R01741",3.64047326216252e+128,0.645448548812665
"GALGAL-R05844",5.84104312853712e+127,0.00263852242744063
"GALGAL-R10967",3.59251808848914e+127,0.162269129287599
"GALGAL-R00514",6.08744460763404e+116,1
"GALGAL-R09362",7.54998847244963e+110,0.037598944591029
"GALGAL-R01973",1.11880886011245e+109,0.00197889182058048
"GALGAL-R02026",1.08922544962983e+104,0.601253298153034
"GALGAL-R08431",1.04955399186706e+103,0.0108839050131926
"GALGAL-R08773",5.10833461761202e+101,0.0649736147757256
"GALGAL-R01736",2.29794896572716e+99,0.0725593667546174
"GALGAL-R05749",1.53463340784577e+99,0.0481530343007916
"GALGAL-R14845",2.53102547844962e+94,0.463390501319261
"GALGAL-R13991",1.84410524923812e+94,0.99967018469657
"GALGAL-R11482",6.71337605040571e+92,0.161609498680739
"GALGAL-R09364",2.46911864752276e+87,1
"GALGAL-R15939",2.22180639625657e+87,0.608509234828496
"GALGAL-R06202",6.93939880976813e+86,0.0385883905013193
"GALGAL-R09369",1.08932774428975e+86,0.99967018469657
"GALGAL-R08210",6.23656115464385e+84,0.660949868073879
"GALGAL-R16931",4.4612044757108e+83,0.0468337730870712
"GALGAL-R07807",3.6349230638705e+82,0.0389182058047493
"GALGAL-R08727",3.54690753220504e+82,0.99967018469657
"GALGAL-R03787",4.72119097636143e+81,0.816952506596306
"GALGAL-R02545",2.07608045756248e+77,1
"GALGAL-R03792",4.13026903578707e+76,0.0389182058047493
"GALGAL-R16823",5.28988267372056e+75,0.108509234828496
"GALGAL-R06040",5.06092995074648e+74,1
"GALGAL-R11383",4.07039520360498e+74,1
"GALGAL-R00387",1.99085778123906e+74,0.534300791556728
"GALGAL-R03230",4.29437508238236e+73,1
"GALGAL-R00049",3.76908850337672e+72,1
"GALGAL-R14882",1.31842318244996e+72,1
"GALGAL-R06889",7.961442359147e+71,0.237796833773087
"GALGAL-R03546",3.28366239811801e+71,0.356530343007916
"GALGAL-R04222",2.16944260206885e+69,0.654683377308707
"GALGAL-R14384",4.30121029155214e+68,0.928100263852243
"GALGAL-R17578",2.63403408018141e+67,0.480540897097625
"GALGAL-R13449",1.18373983542657e+67,0.99967018469657
"GALGAL-R05108",9.95547957031002e+66,0.99967018469657
"GALGAL-R04414",4.77847302750648e+66,1
"GALGAL-R12462",4.6625944777221e+66,0.99967018469657
"GALGAL-R12044",1.09011845871357e+66,0.121372031662269
"GALGAL-R13655",2.27860917407197e+65,1
"GALGAL-R09102",9.67080975678829e+64,0.0438654353562005
"GALGAL-R12405",4.7556655390044e+63,0.0474934036939314
"GALGAL-R00155",7.35649250853103e+61,1
"GALGAL-R06692",4.59666748248792e+61,0.798482849604222
"GALGAL-R01656",2.28760678542569e+61,0.550461741424802
"GALGAL-R12323",7.45836852246809e+60,0.99934036939314
"GALGAL-R02017",8.00444276270839e+58,1
"GALGAL-R03480",5.11700107952025e+58,0.956134564643799
"GALGAL-R06687",2.91706972548653e+58,1
"GALGAL-R05450",2.62000485567246e+58,0.479551451187335
"GALGAL-R13385",2.39899342816264e+58,1
"GALGAL-R06205",2.39875638994104e+58,1
"GALGAL-R16371",1.11647279757451e+58,0.99967018469657
"GALGAL-R08816",6.63742337519161e+57,1
"GALGAL-R08348",8.75926658490325e+56,0.656332453825857
"GALGAL-R02041",8.55755808114119e+56,1
"GALGAL-R00098",4.08241859508737e+56,1
"GALGAL-R08971",2.6361158634809e+56,0.114445910290237
"GALGAL-R09595",1.70233953448235e+56,0.99967018469657
"GALGAL-R15397",1.39562187559724e+56,0.99967018469657
"GALGAL-R10256",1.29218261997136e+56,0.99967018469657
"GALGAL-R16413",6.71307944762829e+55,0.99967018469657
"GALGAL-R15756",6.32295664608047e+55,0.395448548812665
"GALGAL-R12335",4.54757066030163e+55,0.99967018469657
"GALGAL-R08193",1.22459350532794e+55,0.283641160949868
"GALGAL-R03999",2.31473612977197e+54,1
"GALGAL-R08453",6.54855894637571e+53,1
"GALGAL-R10142",6.33403398261082e+53,0.294195250659631
"GALGAL-R09516",4.1630954843556e+52,0.99934036939314
"GALGAL-R10392",3.76099809911934e+52,0.99901055408971
"GALGAL-R09958",2.17386164859197e+52,1
"GALGAL-R02743",1.16832857812703e+52,1
"GALGAL-R07360",2.99854101957514e+51,0.991754617414248
"GALGAL-R05650",2.71848866935351e+51,0.0319920844327177
"GALGAL-R04445",1.10605801268202e+51,0.99901055408971
"GALGAL-R10662",1.06829556911339e+51,0.99901055408971
"GALGAL-R08591",2.68226834011659e+50,0.295514511873351
"GALGAL-R00142",2.0330033137637e+50,1
"GALGAL-R16479",4.10993025774484e+49,0.172493403693931
"GALGAL-R13453",2.75851468331668e+49,0.551121372031662
"GALGAL-R11164",2.33109080501023e+49,1
"GALGAL-R15328",5.33726551431826e+48,1
"GALGAL-R07053",1.69547489182356e+48,1
"GALGAL-R05672",8.60502140838541e+47,0.99967018469657
"GALGAL-R03215",3.70543863866456e+47,0.99901055408971
"GALGAL-R00379",2.86838431053963e+47,0.0306728232189974
"GALGAL-R14439",1.92792421414553e+47,0.973284960422164
"GALGAL-R15079",2.69943515713202e+46,0.50032981530343
"GALGAL-R10841",1.0544965714158e+46,0.99967018469657
"GALGAL-R14098",5.69043156658442e+45,0.99934036939314
"GALGAL-R03179",5.63484681125531e+45,0.218007915567282
"GALGAL-R12030",2.30964906748873e+45,0.335751978891821
"GALGAL-R09983",2.28646443937346e+45,0.411279683377309
"GALGAL-R12486",1.33487037558244e+45,0.99967018469657
"GALGAL-R01127",5.88986955224442e+44,1
"GALGAL-R02700",5.18433114214496e+44,0.99868073878628
"GALGAL-R14557",5.00463568063602e+44,0.288588390501319
"GALGAL-R17211",2.92734487524345e+44,0.00824538258575198
"GALGAL-R09290",1.44317862103902e+44,0.762203166226913
"GALGAL-R16813",1.39379583630296e+44,0.0191292875989446
"GALGAL-R10421",1.33038049532321e+44,1
"GALGAL-R06838",1.11210019245837e+44,1
"GALGAL-R15793",8.29531706491188e+43,0.968667546174143
"GALGAL-R01097",7.53810208295197e+43,0.0504617414248021
"GALGAL-R11989",4.1162038956116e+43,0.0448548812664908
"GALGAL-R01668",2.28383075998238e+43,0.261873350923483
"GALGAL-R11147",1.00375225924076e+43,0.346635883905013
"GALGAL-R12673",3.32206429574191e+42,0.448218997361478
"GALGAL-R00997",1.05333295403008e+42,0.99934036939314
"GALGAL-R07065",7.18699027703645e+41,0.0372691292875989
"GALGAL-R10132",6.43104689557293e+41,0.1655672823219
"GALGAL-R15924",6.09559790391283e+41,0.919195250659631
"GALGAL-R15133",5.33208658689805e+41,0.0316622691292876
"GALGAL-R16883",2.78795764963298e+41,0.0633245382585752
"GALGAL-R11042",1.68233983754347e+41,0.112796833773087
"GALGAL-R08732",1.44346738397906e+41,0.112467018469657
"GALGAL-R01865",1.01632602995589e+41,0.99967018469657
"GALGAL-R16945",7.98149349783966e+40,0.99934036939314
"GALGAL-R05140",6.09926410147608e+40,1
"GALGAL-R15254",2.2094308289961e+40,0.99967018469657
"GALGAL-R02783",1.64452033150643e+40,1
"GALGAL-R13380",9.42010693369848e+39,0.0722295514511873
"GALGAL-R05863",1.81600754585371e+39,0.605540897097625
"GALGAL-R07880",1.68658811523707e+39,0.00197889182058048
"GALGAL-R07712",8.38942485428574e+38,0.99967018469657
"GALGAL-R16626",4.46543426015511e+38,0.113786279683377
"GALGAL-R16013",4.42182447422376e+38,0.115765171503958
"GALGAL-R16742",2.20203071054158e+38,0.0771767810026385
"GALGAL-R05899",1.9968929092648e+38,0.659960422163588
"GALGAL-R12981",1.96247784876257e+38,0.24901055408971
"GALGAL-R04136",1.66808678526523e+38,0.0992744063324538
"GALGAL-R16824",1.60400285942508e+38,0.0286939313984169
"GALGAL-R05134",1.46852667040103e+38,0.0122031662269129
"GALGAL-R07633",1.14908203533439e+38,0.025065963060686
"GALGAL-R00770",5.28057057015149e+37,0.00131926121372032
"GALGAL-R12489",5.22756839601296e+37,0.983839050131926
"GALGAL-R09291",2.9952553223083e+37,0.971306068601583
"GALGAL-R08914",1.35470441790434e+37,0.103562005277045
"GALGAL-R09125",1.2186432145882e+37,0.99901055408971
"GALGAL-R05936",1.01960776717238e+37,0.154023746701847
"GALGAL-R07066",5.46378688513027e+36,0.0356200527704486
"GALGAL-R13226",3.93648289692427e+36,0.99868073878628
"GALGAL-R16877",2.44670038969362e+36,0.99967018469657
"GALGAL-R01957",2.07091116718517e+36,0.497361477572559
"GALGAL-R08206",1.66611299231236e+36,0.138522427440633
"GALGAL-R13164",1.50398175140986e+36,0.99967018469657
"GALGAL-R04471",1.39212982636109e+36,0.229221635883905
"GALGAL-R11558",1.16412104594869e+36,0.99967018469657
"GALGAL-R12073",8.7529188092168e+35,0.99802110817942
"GALGAL-R06612",5.10304294321357e+35,0.99901055408971
"GALGAL-R07575",3.90030604684795e+35,0.903364116094987
"GALGAL-R15308",3.65389310433128e+35,0.571569920844327
"GALGAL-R17569",3.09303353574727e+35,0.963390501319261
"GALGAL-R05884",1.03721207830949e+35,0.0451846965699208
"GALGAL-R03742",8.48093546043844e+34,0.965699208443272
"GALGAL-R10183",7.07369094690199e+34,0.622031662269129
"GALGAL-R09043",3.41819091302306e+34,0.976912928759894
"GALGAL-R16227",2.58194594136658e+34,0.551781002638522
"GALGAL-R14659",1.14453676608536e+34,0.992084432717678
"GALGAL-R08911",1.05604428411521e+34,0.391160949868074
"GALGAL-R01402",6.46673082611069e+33,0.91853562005277
"GALGAL-R10077",4.21948132909119e+33,0.101583113456464
"GALGAL-R14865",4.04371255901963e+33,0.211081794195251
"GALGAL-R07281",2.96938307991047e+33,0.647427440633245
"GALGAL-R05033",8.57190437236505e+32,0.178100263852243
"GALGAL-R06049",2.85805162626717e+32,0.276055408970976
"GALGAL-R10782",2.38070572987626e+32,0.0148416886543536
"GALGAL-R14328",8.63896193058531e+31,0.0794854881266491
